GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Bellas Artes","Dibujo III: Metodologías del Dibujo","Metodología, Lenguajes y Procedimientos del Dibujo","Artes y Humanidades","Procesos de Creación Artística: Metodología, Lenguajes y Procedimientos Artísticos",es,
"Grado en Bellas Artes","Escultura III: Metodologías Escultóricas","Metodología, Lenguajes y Procedimientos Escultóricos","Artes y Humanidades","Procesos de Creación Artística: Metodología, Lenguajes y Procedimientos Artísticos",es,
"Grado en Bellas Artes","Pintura III: Metodologías Pictóricas","Metodología, Lenguajes y Procedimientos Pictóricos","Artes y Humanidades","Procesos de Creación Artística: Metodología, Lenguajes y Procedimientos Artísticos",es,
"Grado en Bellas Artes","Estrategias del Dibujo","Estrategias de Ideación, Concepción y Producción Artística","Artes y Humanidades","Estrategias Creativas",es,
"Grado en Bellas Artes","Idea y Concepto I","Estrategias de Ideación, Concepción y Producción Artística","Artes y Humanidades","Estrategias Creativas",es,
"Grado en Bellas Artes","Análisis de los Lenguajes Artísticos Actuales","Análisis, Producción y Gestión de la Obra Artística Actual","Artes y Humanidades","Lenguajes, Producción y Gestión de la Obra Artística Actual",es,
"Grado en Bellas Artes","Idea y Concepto II","Estrategias de Ideación, Concepción y Producción Artística","Artes y Humanidades","Estrategias Creativas",es,
"Grado en Bellas Artes","Metodología y Presentación de Proyectos","Metodología y Presentación de Proyectos","Artes y Humanidades","Estrategias Creativas",es,
"Grado en Bellas Artes","Producción  Artística: Legislación, Difusión y Mercado","Análisis, Producción y Gestión de la Obra Artística Actual","Artes y Humanidades","Lenguajes, Producción y Gestión de la Obra Artística Actual",es,
"Grado en Bellas Artes","Proyectos de Dibujo","Proyectos Artísticos","Artes y Humanidades","Proyectos Artísticos",es,
"Grado en Bellas Artes","Proyectos Escultóricos","Proyectos Artísticos","Artes y Humanidades","Proyectos Artísticos",es,
"Grado en Bellas Artes","Proyectos Pictóricos","Proyectos Artísticos","Artes y Humanidades","Proyectos Artísticos",es,
"Grado en Bellas Artes","Trabajo Fin de Grado","Trabajo Fin de Grado","Artes y Humanidades","Prácticas Externas y Trabajo Fin de Grado",es,
"Grado en Bellas Artes","Ilustración y Cómic","Creación Gráfica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Gráfica y Visual",es,
"Grado en Bellas Artes","Grabado en Hueco y Relieve","Creación Gráfica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Gráfica y Visual",es,
"Grado en Bellas Artes","Sistemas de Estampación Planográficos","Creación Gráfica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Gráfica y Visual",es,
"Grado en Bellas Artes","Dibujo Animado","Creación Audiovisual","Artes y Humanidades","Complementos Específicos de Formación para la Creación Gráfica y Visual",es,
"Grado en Bellas Artes","Fotografía Creativa","Creación Audiovisual","Artes y Humanidades","Complementos Específicos de Formación para la Creación Gráfica y Visual",es,
"Grado en Bellas Artes","Proyectos Audiovisuales","Creación Audiovisual","Artes y Humanidades","Complementos Específicos de Formación para la Creación Gráfica y Visual",es,
"Grado en Bellas Artes","Pintura y Representación. el Entorno Natural","Creación Pictórica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Pictórica",es,
"Grado en Bellas Artes","Pintura y Representación. la Figura Humana","Creación Pictórica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Pictórica",es,
"Grado en Bellas Artes","Pintura y Procesos de Abstracción","Nuevos Recursos Pictóricos","Artes y Humanidades","Complementos Específicos de Formación para la Creación Pictórica",es,
"Grado en Bellas Artes","Pintura y Procesos de la Imagen","Nuevos Recursos Pictóricos","Artes y Humanidades","Complementos Específicos de Formación para la Creación Pictórica",es,
"Grado en Bellas Artes","Modelado del Natural","Creación Escultórica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Escultórica",es,
"Grado en Bellas Artes","Escultura y Tecnologías Cerámicas","Creación Escultórica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Escultórica",es,
"Grado en Bellas Artes","Procesos y Técnicas de Reproducción Escultórica: Fundición","Creación Escultórica","Artes y Humanidades","Complementos Específicos de Formación para la Creación Escultórica",es,
"Grado en Bellas Artes","Arte y Cuerpo","Arte e Identidad","Artes y Humanidades","Complementos Específicos para la Creación y la Formación Artística",es,
"Grado en Bellas Artes","Arte y Diversidad Cultural","Arte e Identidad","Artes y Humanidades","Complementos Específicos para la Creación y la Formación Artística",es,
"Grado en Bellas Artes","Arte, Espacio Público y Naturaleza","Arte y Espacio Social","Artes y Humanidades","Complementos Específicos para la Creación y la Formación Artística",es,
"Grado en Bellas Artes","Instalaciones e Intervenciones Artísticas","Arte y Espacio Social","Artes y Humanidades","Complementos Específicos para la Creación y la Formación Artística",es,
"Grado en Bellas Artes","Dibujo Experimental y Creación","Dibujo Experimental","Artes y Humanidades","Complementos Específicos para la Creación y la Formación Artística",es,
"Grado en Bellas Artes","Educación Artística","Educación Artística","Artes y Humanidades","Complementos Específicos para la Creación y la Formación Artística",es,
"Grado en Bellas Artes","Fundamentos del Diseño y Teorias de la Comunicación","Fundamentos y Principios del Diseño","Artes y Humanidades","Fundamentos y Principios del Diseño",es,
"Grado en Bellas Artes","Diseño, Cultura Visual y Educación","Fundamentos y Principios del Diseño","Artes y Humanidades","Fundamentos y Principios del Diseño",es,
"Grado en Bellas Artes","Diseño y Creación de Personajes","Diseño de Preproducción","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,
"Grado en Bellas Artes","Creación de Animación Tridimensional","Diseño de Producción","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,"<p>Blender 3.6 y 4.0</p>&#13;"
"Grado en Bellas Artes","Gestión, Producción e Innovación en Diseño","Diseño y Sociedad","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,
"Grado en Bellas Artes","Identidad Visual y Señalética","Diseño de Comunicación","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,
"Grado en Bellas Artes","Diseño de Escenarios Virtuales y Reales","Diseño de Preproducción","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,
"Grado en Bellas Artes","Aplicaciones Interactivas","Diseño de Producción","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,"<p>Processing</p>&#13;&#13;<p>Python</p>&#13;&#13;<p>GIMP</p>&#13;&#13;<p>LibreOffice</p>&#13;&#13;<p>Latex</p>&#13;"
"Grado en Bellas Artes","Diseño: Medios Impresos","Diseño de Comunicación","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,
"Grado en Bellas Artes","Diseño: Medios Digitales","Diseño de Comunicación","Artes y Humanidades","Complementos Específicos de Formación para Animación y Diseño",es,"<p>Latex</p>&#13;&#13;<p>LibreOffice</p>&#13;&#13;<p>GIMP</p>&#13;&#13;<p>Bluefish</p>&#13;"
"Grado en Bellas Artes","Prácticas Externas","Prácticas Externas","Artes y Humanidades","Prácticas Externas y Trabajo Fin de Grado",es,
"Grado en Biología","Desarrollo Conceptual de la Biología",Biología,Ciencias,"Instrumentación, Metodología y Principios Biológicos Básicos",es,
"Grado en Biología","Física de los Procesos Biológicos",Física,Ciencias,"Materias Básicas Instrumentales para la Biología",en,
"Grado en Biología","Física de los Procesos Biológicos",Física,Ciencias,"Materias Básicas Instrumentales para la Biología",es,
"Grado en Biología","Fundamentos de Informática para Biología",Informática,Ciencias,"Materias Básicas Instrumentales para la Biología",en,
"Grado en Biología","Fundamentos de Informática para Biología",Informática,Ciencias,"Materias Básicas Instrumentales para la Biología",es,
"Grado en Biología",Matemáticas,Matemáticas,Ciencias,"Materias Básicas Instrumentales para la Biología",en,"<p>Yes. LibreOffice and OpenOffice.</p>&#13;"
"Grado en Biología",Matemáticas,Matemáticas,Ciencias,"Materias Básicas Instrumentales para la Biología",es,"<p>Sí. LibreOffice y OpenOffice.</p>&#13;"
"Grado en Biología","El Medio Físico",Biología,Ciencias,"Instrumentación, Metodología y Principios Biológicos Básicos",es,
"Grado en Biología","Biología Evolutiva",Biología,Ciencias,"Instrumentación, Metodología y Principios Biológicos Básicos",es,
"Grado en Biología",Bioestadística,Estadística,Ciencias,"Materias Básicas Instrumentales para la Biología",es,
"Grado en Biología","Bases Químicas de la Biología",Química,Ciencias,"Materias Básicas Instrumentales para la Biología",es,
"Grado en Biología","Métodos de Laboratorio en Biología",Biología,Ciencias,"Instrumentación, Metodología y Principios Biológicos Básicos",es,"<p>No</p>&#13;"
"Grado en Biología","Métodos para el Estudio del Medio Natural",Biología,Ciencias,"Instrumentación, Metodología y Principios Biológicos Básicos",es,
"Grado en Biología","Biología Celular","Biología Celular e Histología Vegetal y Animal",Ciencias,"Biología Celular e Histología Vegetal y Animal",es,
"Grado en Biología","Bioquímica I: Estructura y Función de Biomoléculas",Bioquímica,Ciencias,Bioquímica,es,
"Grado en Biología","Botánica Criptogámica",Botánica,Ciencias,Botánica,es,
"Grado en Biología","Genética I: de los Genes a las Poblaciones",Genética,Ciencias,Genética,en,
"Grado en Biología","Genética I: de los Genes a las Poblaciones",Genética,Ciencias,Genética,es,
"Grado en Biología",Zoología,Zoología,Ciencias,Zoología,en,
"Grado en Biología",Zoología,Zoología,Ciencias,Zoología,es,
"Grado en Biología","Histología Vegetal y Animal","Biología Celular e Histología Vegetal y Animal",Ciencias,"Biología Celular e Histología Vegetal y Animal",es,
"Grado en Biología","Bioquímica II: Metabolismo",Bioquímica,Ciencias,Bioquímica,es,
"Grado en Biología","Biodiversidad y Conservación de Espermatófitos",Botánica,Ciencias,Botánica,es,
"Grado en Biología","Genética II: de la Secuencia a la Función",Genética,Ciencias,Genética,en,
"Grado en Biología","Genética II: de la Secuencia a la Función",Genética,Ciencias,Genética,es,
"Grado en Biología","Ecología de Poblaciones y Comunidades",Ecología,Ciencias,Ecología,en,"<ul>&#13;	<li>R Core Team (2021). R: A language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria. URL https://www.R-project.org/.</li>&#13;</ul>&#13;"
"Grado en Biología","Ecología de Poblaciones y Comunidades",Ecología,Ciencias,Ecología,es,"<ul>&#13;	<li>R Core Team (2021). R: A language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria. URL https://www.R-project.org/.</li>&#13;</ul>&#13;"
"Grado en Biología","Fisiología Animal I: Funciones de Relación Animal-Entorno","Fisiología Animal",Ciencias,"Fisiología Animal",es,
"Grado en Biología","Fisiología Vegetal I","Fisiología Vegetal",Ciencias,"Fisiología Vegetal",es,
"Grado en Biología","Microbiología I: Estructura y Función de los Microorganismos",Microbiología,Ciencias,Microbiología,es,"<p>No</p>&#13;"
"Grado en Biología","Ecología de Sistemas",Ecología,Ciencias,Ecología,en,
"Grado en Biología","Ecología de Sistemas",Ecología,Ciencias,Ecología,es,
"Grado en Biología","Fisiología Animal II: Funciones de Mantenimiento de los Animales","Fisiología Animal",Ciencias,"Fisiología Animal",es,
"Grado en Biología","Fisiología Vegetal II","Fisiología Vegetal",Ciencias,"Fisiología Vegetal",es,
"Grado en Biología","Microbiología II: Biodiversidad de los Microorgan.",Microbiología,Ciencias,Microbiología,es,"<p>No</p>&#13;"
"Grado en Biología","Redacción y Ejecución de Proyectos en Biología","Redacción y Ejecución de Proyectos en Biología",Ciencias,"Diseño y Ejecución de Proyectos y Trabajos en Biología",es,
